tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
STAT1	diff_SPG	lacuna_at	791	0.0885787868376347	0.08	0.0009497654967112	0.0009497654967112	1133589.5	0.2399736338466508	0.6198364720547869	77	0.3335226775495825	germline_late_active	promoter
ATF2	architectural	lacuna_at	767	0.0884116414695314	0.08	0.000782620128608	0.000782620128608	1097282.0	0.2667941415430749	0.573823711200202	79	0.364618660108869	architectural_universal	promoter
LEF1	other	lacuna_at	1768	0.0882136322707143	0.08	0.0005846109297908	0.0005846109297908	2517163.5	0.2888067509372246	0.5393926592308017	81	0.3882320258500396	somatic	promoter
FOXP3	other	lacuna_at	1675	0.0879888950778149	0.08	0.0003598737368914	0.0003598737368914	2383065.0	0.3059560341844622	0.514340977057389	82	0.4030855086724666	somatic	promoter
STAT3	diff_SPG	lacuna_at	925	0.0883965832427623	0.08	0.0007675619018388	0.0007675619018388	1318405.5	0.3096876469068951	0.509076117817795	83	0.4030855086724666	germline_late_active	promoter
CRX	other	lacuna_at	740	0.0880056617863487	0.08	0.0003766404454252	0.0003766404454252	1054177.0	0.3322773517530081	0.4784992595154515	84	0.4257303569335416	dev_gene_associated	promoter
MEF2C	other	lacuna_at	331	0.0879765661350249	0.08	0.0003475447941014	0.0003475447941014	472814.5	0.3481347855041511	0.4582525799971616	86	0.4391854217129291	somatic	promoter
PAX7	SSC	lacuna_at	203	0.0890466641190315	0.08	0.0014176427781081	0.0014176427781081	290511.5	0.3605779984417861	0.4430007763569206	87	0.4479908465488858	germline_SSC_or_pluripotency	promoter
MEF2A	other	lacuna_at	422	0.0873174632701555	0.08	-0.0003115580707678	-0.0003115580707678	600816.0	0.3731195671097018	0.4281519751217451	88	0.4566537985521723	somatic	promoter
GATA6	leydig	lacuna_at	847	0.0877578302638826	0.08	0.0001288089229591	0.0001288089229591	1200920.0	0.4026762864704687	0.3950439451585452	89	0.48558022780262405	somatic	promoter
BARX1	neg_control	lacuna_at	784	0.0874970665858026	0.08	-0.0001319547551208	-0.0001319547551208	1106962.0	0.4764293079723301	0.3220015303564418	92	0.5661913515033488	neg_control	promoter
ONECUT1	other	lacuna_at	219	0.0870967977887364	0.081081081081081	-0.000532223552187	-0.000532223552187	308689.0	0.503241610835771	0.2982234561772118	93	0.5895116012647603	somatic	promoter
FOXO1	SSC	lacuna_at	1193	0.0869665657546736	0.08	-0.0006624555862498	-0.0006624555862498	1680382.5	0.5208071905871255	0.2833230282594645	94	0.6014956285654126	germline_SSC_or_pluripotency	promoter
CDX1	neg_control	lacuna_at	211	0.0866320111253792	0.0769230769230769	-0.0009970102155442	-0.0009970102155442	294996.5	0.5813346821255436	0.2355737664872173	98	0.6620756101985358	neg_control	promoter
PDX1	neg_control	lacuna_at	394	0.0875044912622711	0.08	-0.0001245300786522	-0.0001245300786522	551001.5	0.6038962875618841	0.2190376401985118	99	0.6783492545215684	neg_control	promoter
FOXC2	SSC	lacuna_at	506	0.0861476117103872	0.08	-0.0014814096305362	-0.0014814096305362	706903.5	0.6293458748857641	0.2011106100869387	101	0.6973832667653062	germline_SSC_or_pluripotency	promoter
FOXL2	sertoli	lacuna_at	565	0.0860484120359653	0.0769230769230769	-0.001580609304958	-0.001580609304958	787286.0	0.6708490101415178	0.1733752167032541	102	0.7311749248341324	somatic	promoter
CDX2	neg_control	lacuna_at	755	0.0866862751865553	0.0769230769230769	-0.0009427461543681	-0.0009427461543681	1052950.0	0.6776743205779763	0.1689789709670024	103	0.7311749248341324	neg_control	promoter
FOXA2	pioneer	lacuna_at	707	0.0859256188744243	0.074074074074074	-0.0017034024664991	-0.0017034024664991	979223.0	0.7672576707095006	0.1150587609865201	109	0.8170795973789488	somatic	promoter
TBP	architectural	lacuna_at	451	0.0857281240594557	0.074074074074074	-0.0019008972814676	-0.0019008972814676	621620.0	0.7789081997330759	0.1085137242255927	110	0.8188522099757978	architectural_universal	promoter
GATA2	other	lacuna_at	606	0.083721375601771	0.0769230769230769	-0.0039076457391523	-0.0039076457391523	833107.5	0.8334618822939392	0.079114257489183	112	0.8646425389401434	somatic	promoter
NRL	other	lacuna_at	394	0.0834356014460244	0.0794736842105263	-0.004193419894899	-0.004193419894899	538154.0	0.8435536965269692	0.0738872671197616	113	0.8646425389401434	dev_gene_associated	promoter
FOXA1	shared_FOX	lacuna_at	720	0.0830155726574061	0.074074074074074	-0.0046134486835173	-0.0046134486835173	980312.0	0.9232501993478728	0.0346805899042549	116	0.9346483499571059	somatic	promoter
POU3F1	SSC	lacuna_at	335	0.0833778401714846	0.0714285714285714	-0.0042511811694387	-0.0042511811694387	445684.5	0.9548975057856074	0.0200432410450943	120	0.9548975057856075	germline_SSC_or_pluripotency	promoter
CTCF	architectural	lacuna_at	1324	0.0767940313051563	0.0714285714285714	0.0079004939172588	0.0079004939172588	783156.5	4.564951788908784e-05	4.340563804749933	6	0.0024594471881801997	architectural_universal	distal
